"","PCODE","date","adm_level","r3h"
"1","GH0707","2022-02-01",2,57.5
"2","GH0723","2022-02-01",2,40
"3","GH0902","2022-02-01",2,9.434783
"4","GH1310","2022-02-01",2,9.611111
"5","GH1302","2022-02-01",2,8.657895
"6","GH1308","2022-02-01",2,5.28125
"7","GH1303","2022-02-01",2,6.8461537
"8","GH1205","2022-02-01",2,5.4285717
"9","GH1206","2022-02-01",2,3.7692308
"10","GH1211","2022-02-01",2,3.6
"11","GH1311","2022-02-01",2,10.510204
"12","GH1106","2022-02-01",2,11.757143
"13","GH1307","2022-02-01",2,5.278788
"14","GH1210","2022-02-01",2,4.08
"15","GH0901","2022-02-01",2,8.692307
"16","GH1209","2022-02-01",2,5.5
"17","GH0903","2022-02-01",2,10.283019
"18","GH1202","2022-02-01",2,6.5555553
"19","GH0304","2022-02-01",2,98.68421
"20","GH0302","2022-02-01",2,77.12903
"21","GH0308","2022-02-01",2,56.304348
"22","GH0310","2022-02-01",2,77.30303
"23","GH0101","2022-02-01",2,97.155556
"24","GH0404","2022-02-01",2,51.630436
"25","GH0403","2022-02-01",2,60.24
"26","GH0105","2022-02-01",2,76.93333
"27","GH1412","2022-02-01",2,56.93333
"28","GH1413","2022-02-01",2,26.714283
"29","GH1411","2022-02-01",2,26.555555
"30","GH1418","2022-02-01",2,40.57143
"31","GH1002","2022-02-01",2,93.94737
"32","GH1004","2022-02-01",2,47.294113
"33","GH1008","2022-02-01",2,43.206898
"34","GH0206","2022-02-01",2,77.846146
"35","GH0218","2022-02-01",2,111
"36","GH0242","2022-02-01",2,60.69231
"37","GH0240","2022-02-01",2,81.714294
"38","GH0239","2022-02-01",2,51.148148
"39","GH0235","2022-02-01",2,73.74193
"40","GH0234","2022-02-01",2,72.09523
"41","GH0233","2022-02-01",2,116.5
"42","GH0229","2022-02-01",2,86.5
"43","GH0226","2022-02-01",2,45.65909
"44","GH0221","2022-02-01",2,97.80952
"45","GH0219","2022-02-01",2,112.5625
"46","GH0204","2022-02-01",2,134.38637
"47","GH0202","2022-02-01",2,126.13793
"48","GH0223","2022-02-01",2,131.89473
"49","GH0208","2022-02-01",2,92.25001
"50","GH0222","2022-02-01",2,115.76472
"51","GH0224","2022-02-01",2,110.49999
"52","GH0231","2022-02-01",2,46.23809
"53","GH0504","2022-02-01",2,131.83333
"54","GH0516","2022-02-01",2,114.53333
"55","GH0503","2022-02-01",2,143.58333
"56","GH0502","2022-02-01",2,126.77779
"57","GH0507","2022-02-01",2,151.37143
"58","GH0508","2022-02-01",2,164.4054
"59","GH0505","2022-02-01",2,167.12
"60","GH0512","2022-02-01",2,53.666664
"61","GH0515","2022-02-01",2,74.05556
"62","GH0501","2022-02-01",2,111.53846
"63","GH1504","2022-02-01",2,242.54544
"64","GH1503","2022-02-01",2,230.11111
"65","GH1507","2022-02-01",2,199.60715
"66","GH1501","2022-02-01",2,128.83333
"67","GH1506","2022-02-01",2,214.8611
"68","GH1510","2022-02-01",2,202.09677
"69","GH1607","2022-02-01",2,133.75
"70","GH1502","2022-02-01",2,121.16666
"71","GH0606","2022-02-01",2,162.9524
"72","GH0622","2022-02-01",2,71.083336
"73","GH0607","2022-02-01",2,161.6111
"74","GH0630","2022-02-01",2,75.63636
"75","GH0603","2022-02-01",2,172.31818
"76","GH0628","2022-02-01",2,76.73685
"77","GH0633","2022-02-01",2,81.200005
"78","GH0610","2022-02-01",2,107.666664
"79","GH0625","2022-02-01",2,82
"80","GH0616","2022-02-01",2,73.333336
"81","GH0613","2022-02-01",2,118.68422
"82","GH0608","2022-02-01",2,77.4
"83","GH0621","2022-02-01",2,71.047615
"84","GH0623","2022-02-01",2,99.08334
"85","GH1604","2022-02-01",2,131.03703
"86","GH0521","2022-02-01",2,131.3125
"87","GH0210","2022-02-01",2,120.384605
"88","GH0212","2022-02-01",2,117.24325
"89","GH0522","2022-02-01",2,130.18182
"90","GH0511","2022-02-01",2,82
"91","GH0517","2022-02-01",2,105.14286
"92","GH1608","2022-02-01",2,111.161285
"93","GH0102","2022-02-01",2,117.07143
"94","GH0405","2022-02-01",2,60.709675
"95","GH1101","2022-02-01",2,23.788946
"96","GH0624","2022-02-01",2,80.27273
"97","GH0402","2022-02-01",2,29.754965
"98","GH0401","2022-02-01",2,45.250004
"99","GH0803","2022-02-01",2,28.305555
"100","GH1007","2022-02-01",2,30.352942
"101","GH1001","2022-02-01",2,91.166664
"102","GH1102","2022-02-01",2,11.604256
"103","GH0407","2022-02-01",2,33.804127
"104","GH0811","2022-02-01",2,10.412698
"105","GH0802","2022-02-01",2,11.2952385
"106","GH1104","2022-02-01",2,17.153255
"107","GH1417","2022-02-01",2,76.71428
"108","GH1309","2022-02-01",2,9.461537
"109","GH0809","2022-02-01",2,12.754386
"110","GH0801","2022-02-01",2,13.909091
"111","GH0807","2022-02-01",2,16.27027
"112","GH0808","2022-02-01",2,22.508772
"113","GH0312","2022-02-01",2,78.31429
"114","GH0106","2022-02-01",2,74.92307
"115","GH0309","2022-02-01",2,67.625
"116","GH0215","2022-02-01",2,106.52631
"117","GH0705","2022-02-01",2,32.571426
"118","GH0726","2022-02-01",2,62.774193
"119","GH0706","2022-02-01",2,38.375
"120","GH0724","2022-02-01",2,42.523808
"121","GH0721","2022-02-01",2,38
"122","GH1601","2022-02-01",2,174.67058
"123","GH1609","2022-02-01",2,143.83333
"124","GH1602","2022-02-01",2,123.68965
"125","GH1603","2022-02-01",2,117.414635
"126","GH1605","2022-02-01",2,122.80953
"127","GH1606","2022-02-01",2,132.45651
"128","GH1509","2022-02-01",2,119.66667
"129","GH1514","2022-02-01",2,171.9434
"130","GH1505","2022-02-01",2,165.19998
"131","GH1513","2022-02-01",2,172.45653
"132","GH1511","2022-02-01",2,174.4754
"133","GH0518","2022-02-01",2,79.55555
"134","GH0513","2022-02-01",2,95.33333
"135","GH0520","2022-02-01",2,157.36842
"136","GH0519","2022-02-01",2,156.4516
"137","GH0509","2022-02-01",2,100.888885
"138","GH0510","2022-02-01",2,65.75
"139","GH0722","2022-02-01",2,60.666668
"140","GH0714","2022-02-01",2,59.5
"141","GH0712","2022-02-01",2,54.5
"142","GH0716","2022-02-01",2,77.58333
"143","GH0717","2022-02-01",2,82.428566
"144","GH0713","2022-02-01",2,64.5
"145","GH1006","2022-02-01",2,31
"146","GH1005","2022-02-01",2,28.38235
"147","GH1403","2022-02-01",2,77.444435
"148","GH1401","2022-02-01",2,77.230774
"149","GH1405","2022-02-01",2,65.63158
"150","GH1404","2022-02-01",2,83.55556
"151","GH1408","2022-02-01",2,62.000004
"152","GH1410","2022-02-01",2,103.82609
"153","GH1409","2022-02-01",2,76.87097
"154","GH1402","2022-02-01",2,81.77778
"155","GH1415","2022-02-01",2,63.166664
"156","GH1414","2022-02-01",2,71.125
"157","GH1416","2022-02-01",2,72.05406
"158","GH1407","2022-02-01",2,70.08695
"159","GH0627","2022-02-01",2,94.200005
"160","GH0605","2022-02-01",2,88.88889
"161","GH0615","2022-02-01",2,153.58333
"162","GH0618","2022-02-01",2,130.75
"163","GH0620","2022-02-01",2,50.7931
"164","GH0619","2022-02-01",2,56.95
"165","GH0629","2022-02-01",2,100.78573
"166","GH0611","2022-02-01",2,113.46667
"167","GH0602","2022-02-01",2,106.63158
"168","GH0631","2022-02-01",2,133.66667
"169","GH0632","2022-02-01",2,150.5
"170","GH0305","2022-02-01",2,104.333336
"171","GH0306","2022-02-01",2,116.916664
"172","GH1305","2022-02-01",2,9.615385
"173","GH1301","2022-02-01",2,8
"174","GH1304","2022-02-01",2,14
"175","GH1306","2022-02-01",2,9.384615
"176","GH1214","2022-02-01",2,6.7857146
"177","GH1212","2022-02-01",2,3.8000002
"178","GH1208","2022-02-01",2,4.3684206
"179","GH1207","2022-02-01",2,3.6296296
"180","GH1203","2022-02-01",2,5
"181","GH1213","2022-02-01",2,3.25
"182","GH1201","2022-02-01",2,4.125
"183","GH1105","2022-02-01",2,9.236025
"184","GH1107","2022-02-01",2,9.848684
"185","GH0805","2022-02-01",2,12.2
"186","GH0815","2022-02-01",2,12.043479
"187","GH0814","2022-02-01",2,8.380952
"188","GH0804","2022-02-01",2,8.333333
"189","GH0905","2022-02-01",2,7.692307
"190","GH0904","2022-02-01",2,8.154929
"191","GH0816","2022-02-01",2,20.416666
"192","GH0813","2022-02-01",2,20.428572
"193","GH0408","2022-02-01",2,46.454548
"194","GH0409","2022-02-01",2,47.29
"195","GH0103","2022-02-01",2,86.84375
"196","GH0207","2022-02-01",2,92.52941
"197","GH0104","2022-02-01",2,92.368416
"198","GH0410","2022-02-01",2,92.68182
"199","GH0411","2022-02-01",2,89.66666
"200","GH0301","2022-02-01",2,39.67105
"201","GH0307","2022-02-01",2,47.466667
"202","GH0311","2022-02-01",2,59.311474
"203","GH0241","2022-02-01",2,69.95
"204","GH0238","2022-02-01",2,53.991306
"205","GH0214","2022-02-01",2,73.075
"206","GH0213","2022-02-01",2,88.3
"207","GH0216","2022-02-01",2,87
"208","GH0230","2022-02-01",2,100.99999
"209","GH0225","2022-02-01",2,92.52941
"210","GH1512","2022-02-01",2,151.23077
"211","GH0728","2022-02-01",2,34
"212","GH0719","2022-02-01",2,53.444443
"213","GH0812","2022-02-01",2,13.409091
"214","GH0810","2022-02-01",2,11.857143
"215","GH1003","2022-02-01",2,69.19231
